wavelength,kabs,ksca,gsca,kext,Av
936.49439,0.77196493,0.0010637453,0.0012436344,0.7730286753,6.42922927686554E-05
938.35151,0.7697527,0.0010555425,0.0012392579,0.7708082425,6.41076208150628E-05
940.21232,0.7675489,0.0010473984,0.0012348935,0.7685962984,6.3923654861135E-05
942.07681,0.765334,0.0010392737,0.001230542,0.7663732737,6.37387673409031E-05
943.94501,0.76300648,0.0010305989,0.0012258153,0.7640370789,6.35444675369691E-05
945.8169,0.76080667,0.0010225742,0.0012214837,0.7618292442,6.33608433591698E-05
947.69251,0.75860416,0.0010146079,0.0012171467,0.7596187679,6.31769994812145E-05
949.57184,0.756417,0.0010067131,0.0012128219,0.7574237131,6.29944381993965E-05
951.4549,0.75421436,0.0009988078,0.0012085118,0.7552131678,6.28105885827561E-05
953.34169,0.7520231,0.00099100379,0.0012041958,0.75301410379,6.26276938575468E-05
955.23222,0.74983101,0.00098322739,0.0011998854,0.75081423739,6.24447323980823E-05
957.1265,0.74764899,0.00097548343,0.0011955968,0.74862447343,6.22626111519902E-05
959.02453,0.74545496,0.00096779617,0.0011913043,0.74642275617,6.20794957577019E-05
960.92634,0.7432769,0.00096014265,0.0011870161,0.74423704265,6.18977113840735E-05
962.83191,0.74109459,0.00095255443,0.0011827436,0.74204714443,6.17155789716644E-05
964.74126,0.73891862,0.00094500541,0.0011784732,0.73986362541,6.15339771131754E-05
966.6544,0.73673705,0.00093749678,0.0011742131,0.73767454678,6.13519128655342E-05
968.57133,0.73456359,0.00093003337,0.0011699595,0.73549362337,6.11705268822428E-05
970.49206,0.73239132,0.00092260927,0.0011657069,0.73331392927,6.09892431398655E-05
972.4166,0.73022516,0.00091524746,0.0011614575,0.73114040746,6.08084727428381E-05
974.34496,0.72817403,0.00090847942,0.0011575878,0.72908250942,6.06373186996529E-05
976.27714,0.7260101,0.00090119377,0.0011533608,0.72691129377,6.04567401044546E-05
978.21315,0.72385305,0.00089395113,0.0011491393,0.72474700113,6.02767372915008E-05
980.15301,0.72168668,0.00088675587,0.0011449201,0.72257343587,6.00959632807651E-05
982.09671,0.71965254,0.00088014282,0.0011410719,0.72053268282,5.99262351752608E-05
984.04426,0.71748761,0.00087302725,0.0011368743,0.71836063725,5.97455875561552E-05
985.99568,0.71534278,0.00086594519,0.0011326809,0.71620872519,5.95666144279977E-05
987.95096,0.71331154,0.00085946591,0.001128856,0.71417100591,5.93971386391736E-05
989.91013,0.71115501,0.00085247462,0.0011246699,0.71200748462,5.92171999788983E-05
991.87318,0.70913087,0.00084606601,0.0011208536,0.70997693601,5.90483205700401E-05
993.84012,0.70699296,0.00083915071,0.0011166981,0.70783211071,5.88699368431082E-05
995.81096,0.7049614,0.00083282051,0.001112883,0.70579422051,5.87004468389788E-05
997.78571,0.7028222,0.00082598528,0.0011087228,0.70364818528,5.85219624829548E-05
999.76438,0.70081324,0.00081973113,0.0011049362,0.70163297113,5.83543584311736E-05
1001.747,0.69882711,0.00081299342,0.0011007898,0.69964010342,5.8188612918291E-05
1003.7335,0.69698564,0.00080680957,0.0010969949,0.69779244957,5.80349447478144E-05
1005.7239,0.69502497,0.00080015049,0.0010928733,0.69582512049,5.78713232661991E-05
1007.7184,0.69317597,0.00079405035,0.0010890867,0.69397002035,5.77170357926202E-05
1009.7167,0.69133383,0.0007879803,0.0010853161,0.6921218103,5.75633213633509E-05
1011.719,0.689379,0.00078143995,0.0010812001,0.69016043995,5.7400195465439E-05
1013.7253,0.68754874,0.00077543976,0.0010774451,0.68832417976,5.72474748982633E-05
1015.7356,0.68569777,0.00076947406,0.0010737006,0.68646724406,5.70930347623516E-05
1017.7499,0.68386685,0.00076354922,0.0010699494,0.68463039922,5.69402655702152E-05
1019.7681,0.68191842,0.00075715887,0.0010658559,0.68267557887,5.67776844315484E-05
1021.7904,0.68007496,0.00075130106,0.0010621271,0.68082626106,5.66238778705995E-05
1023.8167,0.67824912,0.00074548255,0.0010584019,0.67899460255,5.64715400221601E-05
1025.847,0.67642512,0.00073969949,0.0010546779,0.67716481949,5.6319358153679E-05
1027.8813,0.67460072,0.00073393582,0.0010509602,0.67533465582,5.61671446301114E-05
1029.9196,0.67277404,0.00072820889,0.0010472447,0.67350224889,5.60147445360669E-05
1031.962,0.67095359,0.00072252899,0.0010435501,0.67167611899,5.58628664985298E-05
1034.0084,0.6691244,0.0007168767,0.0010398546,0.6698412767,5.57102638571761E-05
1036.0589,0.66729747,0.00071125202,0.001036162,0.66800872202,5.555785147486E-05
1038.1135,0.66548598,0.00070566622,0.0010324715,0.66619164622,5.54067264609385E-05
1040.1721,0.66366564,0.00070010217,0.0010287883,0.66436574217,5.52548672071992E-05
1042.2349,0.66185116,0.00069458274,0.0010251171,0.66254574274,5.51034990368698E-05
1044.3017,0.66002992,0.00068909076,0.0010214488,0.66071901076,5.49515709247303E-05
1046.3726,0.65821805,0.00068362676,0.0010177794,0.65890167676,5.48004244364825E-05
1048.4476,0.65640845,0.00067820165,0.0010141319,0.65708665165,5.46494699771162E-05
1050.5267,0.65459855,0.00067281203,0.0010104793,0.65527136203,5.4498493518625E-05
1052.61,0.65279022,0.00066745361,0.0010068336,0.65345767361,5.43476502308977E-05
1054.6974,0.65098402,0.00066212758,0.0010031839,0.65164614758,5.41969867877419E-05
1056.7889,0.64929861,0.00065727361,0.00099990227,0.64995588361,5.40564086313451E-05
1058.8846,0.64749685,0.00065200831,0.00099627191,0.64814885831,5.39061195109799E-05
1060.9844,0.64569467,0.00064677073,0.00099265227,0.64634144073,5.37557977649418E-05
1063.0884,0.64389273,0.00064157251,0.0009890351,0.64453430251,5.36054992530935E-05
1065.1966,0.64221199,0.00063681962,0.00098576154,0.64284880962,5.3465317904321E-05
1067.3089,0.64041288,0.00063168085,0.00098215431,0.64104456085,5.33152597061522E-05
1069.4254,0.638617,0.00062656721,0.0009785625,0.63924356721,5.3165472235031E-05
1071.5462,0.63693937,0.00062190938,0.0009752962,0.63756127938,5.30255574490167E-05
1073.6711,0.63514837,0.000616856,0.00097171356,0.635765226,5.28761808561105E-05
