wavelength,Acoff,Scoff,Av
201.7029,13.34348,0.51499779,0.00620222101525818
202.10289,13.28059,0.51075593,0.00617298893489761
202.50367,13.219427,0.50659375,0.00614455958633515
202.90525,13.157813,0.50240083,0.00611592060717574
203.30762,13.096967,0.49829749,0.00608763860428785
203.71079,13.036266,0.49422302,0.00605942399926374
204.11476,12.97575,0.49018022,0.00603129538461753
204.51953,12.915222,0.48615338,0.00600316119221708
204.92511,12.854867,0.48215848,0.0059751074124403
205.33149,12.794714,0.47818107,0.00594714752485993
205.73867,12.735324,0.47430391,0.00591954228948684
206.14666,12.676198,0.47038589,0.00589205976470709
206.55546,12.618064,0.46655431,0.00586503833427807
206.96507,12.559956,0.462751,0.00583802898898324
207.3755,12.501999,0.45897269,0.0058110898304293
207.78673,12.444141,0.45521436,0.00578419668834786
208.19879,12.386357,0.45148441,0.00575733794241759
208.61166,12.32887,0.44777392,0.00573061724590482
209.02535,12.271352,0.44408618,0.0057038821401936
209.43986,12.214702,0.44048436,0.00567755049203927
209.85519,12.158264,0.43691058,0.00565131738420989
210.27134,12.101957,0.4333018,0.00562514516686433
210.68832,12.046423,0.42976995,0.00559933224985457
211.10613,11.990946,0.42626607,0.00557354582717747
211.52477,11.935657,0.42278206,0.00554784678931684
211.94423,11.880538,0.41930642,0.00552222676964131
212.36453,11.825966,0.41592747,0.00549686100259668
212.78566,11.770997,0.41250688,0.00547131070484918
213.20763,11.716909,0.40916973,0.00544616990722568
213.63043,11.662078,0.40579441,0.00542068375365198
214.05407,11.608563,0.4024957,0.00539580929379356
214.47855,11.555351,0.39922492,0.00537107567222978
214.90388,11.502356,0.39596765,0.00534644291505522
215.33004,11.449488,0.39273842,0.00532186918911306
215.75705,11.397286,0.38958279,0.00529760502853137
216.18491,11.344562,0.38639208,0.00527309823564013
216.61362,11.291973,0.3832179,0.00524865419248412
217.04318,11.240195,0.38012065,0.00522458711255234
217.47359,11.188482,0.37704289,0.00520055024545605
217.90485,11.136771,0.37398394,0.00517651430798546
218.33697,11.085359,0.37089123,0.00515261734955809
218.76994,11.035237,0.36792703,0.00512931999971182
219.20377,10.984699,0.36492854,0.00510582928771846
219.63847,10.934236,0.36194611,0.00508237343668912
220.07402,10.883838,0.35898741,0.00505894779849526
220.51044,10.834049,0.35609503,0.00503580523132922
220.94773,10.783889,0.35316704,0.00501249021859451
221.38588,10.734377,0.35031557,0.00498947640458891
221.8249,10.685058,0.34747761,0.00496655229946405
222.26479,10.636056,0.34466081,0.00494377554001376
222.70556,10.587676,0.34185647,0.0049212878941584
223.14719,10.539401,0.33907479,0.00489884905365265
223.58971,10.491177,0.33630718,0.00487643391860244
224.0331,10.443691,0.33361379,0.00485436181543815
224.47737,10.395716,0.3308805,0.00483206241878848
224.92252,10.348333,0.32821751,0.00481003819134811
225.36856,10.301395,0.32556965,0.00478822080562758
225.81547,10.254019,0.32288943,0.00476619983187719
226.26328,10.207246,0.32027701,0.0047444591402775
226.71197,10.16113,0.31767773,0.0047230238307226
227.16156,10.11579,0.31514736,0.00470194921594206
227.61203,10.070081,0.31258089,0.00468070308521856
228.0634,10.0244,0.31002984,0.00465946996925495
228.51566,9.9793754,0.30754706,0.00463854195644843
228.96882,9.9339174,0.30502851,0.00461741249375117
229.42288,9.889082,0.30257219,0.00459657242353654
229.87784,9.8443468,0.30013346,0.00457577892756984
230.3337,9.7996908,0.29770631,0.00455502224478114
230.79046,9.7551535,0.29530008,0.00453432073527816
231.24813,9.7112541,0.29290243,0.00451391572989446
231.70671,9.667443,0.29052839,0.00449355176748574
232.1662,9.6237582,0.28815896,0.00447324651094042
232.6266,9.580643,0.28585518,0.00445320601179649
233.08791,9.5370709,0.28352121,0.00443295313965976
233.55014,9.4941893,0.28124273,0.00441302122079842
234.01328,9.4513467,0.27898039,0.00439310742963837
234.47734,9.4085842,0.2767366,0.00437323086998789
234.94232,9.3659045,0.27449953,0.00435339279684169
235.40823,9.3236457,0.27227824,0.00433375036342555
235.87506,9.281894,0.27007364,0.00431434363660745
236.34281,9.2403393,0.26787932,0.00429502847792151
236.81149,9.1987684,0.26570241,0.00427570578926733
237.2811,9.1578729,0.26357708,0.00425669703521445
237.75164,9.116938,0.26146789,0.00423766996753515
238.22312,9.0756649,0.2593298,0.00421848570014876
238.69553,9.0349561,0.25724555,0.00419956372665565
239.16888,8.9943431,0.25517515,0.0041806862822339
239.64316,8.9537729,0.25311884,0.00416182873180229
240.11839,8.9137438,0.25107275,0.00414322269160574
240.59456,8.8738143,0.24903819,0.0041246629467694
241.07167,8.8343684,0.2470568,0.00410632798542905
241.54973,8.7945698,0.24504968,0.00408782908459524
242.02874,8.7548021,0.24305543,0.00406934454647861
242.50869,8.7156615,0.24111371,0.00405115149250245
242.9896,8.6765657,0.23918265,0.00403297926214213
243.47146,8.637593,0.23726115,0.00401486425024409
243.95428,8.5986667,0.23535438,0.00399677080566244
244.43806,8.5598145,0.23345821,0.00397871180371325
244.92279,8.5214283,0.23157465,0.00396086940455382
245.40849,8.4831758,0.22970282,0.00394308915087291
245.89515,8.4449385,0.22784272,0.00392531596234737
246.38277,8.407287,0.22602762,0.00390781506119145
246.87136,8.3692133,0.22419345,0.00389011791604876
247.36092,8.3316927,0.22240341,0.00387267785889537
247.85145,8.2942492,0.22062264,0.00385527363881299
248.34296,8.2565621,0.21880939,0.00383775619031948
248.83544,8.2194038,0.21703888,0.00382048453486294
249.32889,8.1826798,0.21528001,0.0038034147476287
249.82332,8.1469439,0.21357047,0.00378680424197506
250.31874,8.1105835,0.21183607,0.00376990346069438
250.81513,8.0741067,0.21011175,0.00375294857519754
251.31252,8.0376953,0.20839474,0.00373602408846132
251.81088,8.0018538,0.20672701,0.00371936449857035
252.31024,7.9660729,0.20506707,0.00370273307633831
252.81058,7.9298835,0.20338593,0.00368591177805558
253.31192,7.8942238,0.20174834,0.00366933669114139
253.81425,7.8586604,0.20012176,0.00365280636570499
254.31758,7.8235956,0.19850341,0.00363650779595738
254.82191,7.7887415,0.19689854,0.00362030716227802
255.32723,7.7539635,0.1953007,0.00360414190085681
255.83356,7.7196967,0.19374573,0.00358821425176635
256.3409,7.6850293,0.19216733,0.00357210039864674
256.84923,7.6509071,0.19063049,0.0035562399614949
257.35858,7.616424,0.18907073,0.00354021177338421
257.86894,7.5824753,0.18755579,0.00352443198126246
258.38031,7.5485361,0.18605037,0.00350865660486283
258.89269,7.5142672,0.18452175,0.00349272797966537
259.40609,7.4807352,0.18303595,0.0034771418750597
259.92051,7.447278,0.18155293,0.00346159053845548
260.43594,7.4151472,0.18011873,0.00344665572962022
260.9524,7.3827832,0.17866134,0.00343161252642752
261.46989,7.3504314,0.17720778,0.00341657499395162
261.9884,7.3185851,0.17580044,0.00340177242437321
262.50793,7.2864517,0.17436824,0.00338683640702453
263.0285,7.2547304,0.17297593,0.00337209193905281
263.5501,7.223087,0.17159118,0.00335738368000238
264.07274,7.1913793,0.17018688,0.00334264553348547
264.59641,7.1603823,0.16882141,0.00332823772946358
265.12112,7.1294757,0.16746092,0.00331387194452366
265.64687,7.0986196,0.16611407,0.00329952963263284
266.17366,7.0683048,0.16479848,0.00328543892393965
266.7015,7.0375937,0.16346869,0.0032711640099126
267.23039,7.0068525,0.16213984,0.00325687510501865
267.76032,6.9767078,0.16085158,0.00324286346099186
268.2913,6.9461534,0.15954232,0.00322866138313896
268.82334,6.9160763,0.15827114,0.00321468116046107
269.35643,6.8864258,0.15700667,0.0032008992269465
269.89058,6.8564718,0.15572172,0.00318697622273088
270.42579,6.8270408,0.15447075,0.00317329631563768
270.96206,6.7976069,0.15323053,0.00315961506058719
